cell_id,tough_label,material,tough_material,generated
666,A1766,Rocka,ROCKA,False
667,A1767,Rocka,ROCKA,False
668,A1768,Rocka,ROCKA,False
669,A1769,Rocka,ROCKA,False
670,A1770,Rocka,ROCKA,False
671,A1771,Rocka,ROCKA,False
672,A1772,Rocka,ROCKA,False
673,A1773,Rocka,ROCKA,False
674,A1774,Rocka,ROCKA,False
675,A1775,Rocka,ROCKA,False
676,A1776,Rocka,ROCKA,False
677,A1777,Rocka,ROCKA,False
678,A1778,Rocka,ROCKA,False
679,A1779,Rocka,ROCKA,False
680,A1780,Rocka,ROCKA,False
681,A1781,Rocka,ROCKA,False
682,A1782,Rocka,ROCKA,False
683,A1783,Rocka,ROCKA,False
684,A1784,Rocka,ROCKA,False
685,A1785,Rocka,ROCKA,False
686,A1786,Rocka,ROCKA,False
687,A1787,Rocka,ROCKA,False
688,A1788,Rocka,ROCKA,False
689,A1789,Rocka,ROCKA,False
690,A1790,Rocka,ROCKA,False
691,A1791,Rocka,ROCKA,False
692,A1792,Rocka,ROCKA,False
693,A1793,Rocka,ROCKA,False
694,A1794,Rocka,ROCKA,False
695,A1795,Rocka,ROCKA,False
696,A1796,Rocka,ROCKA,False
697,A1797,Rocka,ROCKA,False
698,A1798,Rocka,ROCKA,False
699,A1799,Rocka,ROCKA,False
700,A18 0,Rocka,ROCKA,False
701,A18 1,Rocka,ROCKA,False
702,A18 2,Rocka,ROCKA,False
703,A18 3,Rocka,ROCKA,False
704,A18 4,Rocka,ROCKA,False
705,A18 5,Rocka,ROCKA,False
706,A18 6,Rocka,ROCKA,False
707,A18 7,Rocka,ROCKA,False
708,A18 8,Rocka,ROCKA,False
709,A18 9,Rocka,ROCKA,False
710,A1810,Rocka,ROCKA,False
711,A1811,Rocka,ROCKA,False
712,A1812,Rocka,ROCKA,False
713,A1813,Rocka,ROCKA,False
714,A1814,Rocka,ROCKA,False
715,A1815,Rocka,ROCKA,False
716,A1816,Rocka,ROCKA,False
717,A1817,Rocka,ROCKA,False
718,A1818,Rocka,ROCKA,False
719,A1819,Rocka,ROCKA,False
720,A1820,Rocka,ROCKA,False
721,A1821,Rocka,ROCKA,False
722,A1822,Rocka,ROCKA,False
723,A1823,Rocka,ROCKA,False
724,A1824,Rocka,ROCKA,False
725,A1825,Rocka,ROCKA,False
